"motusRecvID","recvProjectID","receiverID","receiverType","recvDeployID","deploymentStatus","deploymentName","dtStart","dtEnd","tsStart","tsEnd","latitude","longitude","elevation","isMobile","macAddress","location_precision"
"1321","64","Lotek-6347","LOTEKSRX600","2494","terminated","Stangee","2014-05-13 15:30:00 +00:00","2014-05-29 18:14:00 +00:00","1399995000","1401387240","41.61096000","-83.23132000","","","0","Exact"
"1321","64","Lotek-6347","LOTEKSRX600","2472","terminated","Stangee","2013-04-30 15:18:00 +00:00","2013-05-30 00:15:00 +00:00","1367335080.0000002","1369872900","41.61109000","-83.20319000","","","0","Exact"
"1322","64","Lotek-8206","LOTEKSRXDL","2473","terminated","CedarPoint","2013-04-08 00:55:00 +00:00","2013-05-30 22:44:00 +00:00","1365382500","1369953840","41.70084000","-83.33816000","","","0","Exact"
"1322","64","Lotek-8206","LOTEKSRXDL","2479","terminated","Cedar Point","2014-04-29 19:21:00 +00:00","2014-05-29 18:34:00 +00:00","1398799260","1401388440","41.69892000","-83.33828000","","","0","Exact"
"1322","64","Lotek-8206","LOTEKSRXDL","2911","deployed","Detroit River 2016","2016-03-11 10:12:00 +00:00","","1457691119.9999998","","42.11674000","-83.18909000","","","0","Exact"
"1322","64","Lotek-8206","LOTEKSRXDL","2368","terminated","Detroit River Deployment 2","2015-06-24 13:00:00 +00:00","2015-10-12 15:42:00 +00:00","1435150800","1444664520","42.11674000","-83.18908900","","","0","Exact"
"1322","64","Lotek-8206","LOTEKSRXDL","2358","terminated","Detroit River","2015-04-16 00:00:00 +00:00","2015-06-10 20:00:00 +00:00","1429142400","1433966400","42.11674000","-83.18908900","","","0","Exact"
"1324","64","Lotek-8372","LOTEKSRXDL","2412","terminated","Pipe Creek North","2015-04-17 00:00:00 +00:00","2015-06-24 12:00:00 +00:00","1429228800","1435147200","41.45531900","-82.66463000","","","0","Exact"
"1324","64","Lotek-8372","LOTEKSRXDL","2894","terminated","Pipe Creek North 8372","2015-06-24 12:01:00 +00:00","2015-10-29 13:28:00 +00:00","1435147259.9999998","1446125280","41.45531000","-82.66460000","","","0","Exact"
"1324","64","Lotek-8372","LOTEKSRXDL","3083","terminated","Pipe Creek North Fall 2015","2015-10-29 13:30:00 +00:00","2015-12-07 09:36:00 +00:00","1446125400","1449480960.0000002","41.45531000","-82.66460000","","","0","Exact"
"1324","64","Lotek-8372","LOTEKSRXDL","3084","deployed","Pipe Creek North 2016","2016-05-10 15:00:00 +00:00","","1462892400","","41.45531000","-82.66460000","","","0","Exact"
"1324","64","Lotek-8372","LOTEKSRXDL","2491","terminated","Resthaven","2014-05-10 12:24:00 +00:00","2014-06-14 08:44:00 +00:00","1399724640","1402735440","41.40088000","-82.82635000","","","0","Exact"
"1325","64","Lotek-8373","LOTEKSRXDL","2478","terminated","Old Woman Creek","2014-04-15 12:00:00 +00:00","2014-05-24 19:37:00 +00:00","1397563200","1400960220","41.37750000","-82.50800000","","","0","Exact"
"1325","64","Lotek-8373","LOTEKSRXDL","3085","terminated","Pipe Creek South Fall 2015","2015-11-01 09:40:00 +00:00","2015-11-13 09:45:00 +00:00","1446370799.9999998","1447407900","41.45531000","-82.66460000","","","0","Exact"
"1325","64","Lotek-8373","LOTEKSRXDL","3086","terminated","Pipe Creek South Fall 2015","2015-11-19 09:40:00 +00:00","2015-12-04 10:15:00 +00:00","1447925999.9999998","1449224100","41.45531000","-82.66460000","","","0","Exact"
"1325","64","Lotek-8373","LOTEKSRXDL","3087","terminated","Mound March 2016","2016-03-12 13:07:00 +00:00","2016-03-27 16:00:00 +00:00","1457788020","1459094400","41.63072400","-83.25547800","","","0","Exact"
"1325","64","Lotek-8373","LOTEKSRXDL","3088","deployed","Pipe Creek South 2016","2016-05-11 08:47:00 +00:00","","1462956420","","41.45531000","-82.66460000","","","0","Exact"
"1325","64","Lotek-8373","LOTEKSRXDL","2895","terminated","Pipe Creek South 8373","2015-06-24 12:01:00 +00:00","2015-10-29 13:24:00 +00:00","1435147259.9999998","1446125040","41.45531000","-82.66460000","","","0","Exact"
"1325","64","Lotek-8373","LOTEKSRXDL","2413","terminated","Pipe Creek South","2015-04-17 00:00:00 +00:00","2015-06-24 12:00:00 +00:00","1429228800","1435147200","41.45532700","-82.66463000","","","0","Exact"
"1326","64","Lotek-8205","LOTEKSRXDL","2414","terminated","Mound West","2015-05-09 00:00:00 +00:00","2015-06-17 20:00:00 +00:00","1431129600","1434571200","41.63080000","-83.25548000","","","0","Exact"
"1326","64","Lotek-8205","LOTEKSRXDL","2415","terminated","Mound West 2","2015-06-24 16:30:00 +00:00","2015-11-06 13:17:00 +00:00","1435163400","1446815820","41.63080000","-83.25548000","","","0","Exact"
"1326","64","Lotek-8205","LOTEKSRXDL","2372","terminated","Mound West 2","2015-05-09 00:00:00 +00:00","2015-05-09 00:00:00 +00:00","1431129600","1431129600","41.63080000","-83.25548000","","","0","Exact"
"1326","64","Lotek-8205","LOTEKSRXDL","2912","terminated","Mound 2016 (Disregard)","2016-03-09 09:15:00 +00:00","2016-03-09 09:16:00 +00:00","1457514900","1457514960","41.63080000","-83.25548000","","","0","Exact"
"1326","64","Lotek-8205","LOTEKSRXDL","2474","terminated","Old Woman Creek","2013-04-06 15:43:00 +00:00","2013-05-05 14:11:00 +00:00","1365262980","1367763060","41.37741000","-82.50851000","","","0","Exact"
"1592","64","Lotek-270","LOTEKSRX800","2897","terminated","Winous Point","2015-07-01 12:00:00 +00:00","2015-11-07 16:22:00 +00:00","1435752000","1446913320","41.46186800","-82.99903000","","","0","Exact"
