"","hitID","ts","sig","sigSD","noise","freq","freqSD","slop","burstSlop","batchID","motusDeviceID","receiverID","motusRecvID","recvProjectID","recvDeployID","runID","runLen","ant","motusTagID","ambigID","mfgID","dateBin","tagProjectID","tagDeployID","gpsLat","gpsLon","gpsAlt","gpsTs"
"1788",455824,1445857924.4511,33,0,-96,4,0,7e-05,0,7,515,"LOTEK-164",1405,74,2512,42361,11,1,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1789",455825,1445857982.6331,41,0,-96,4,0,7e-05,-0.000589,7,515,"LOTEK-164",1405,74,2512,42361,11,1,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1790",455826,1445858040.8151,29,0,-96,4,0,7e-05,-0.000589,7,515,"LOTEK-164",1405,74,2512,42361,11,1,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1791",455827,1445858089.3007,41,0,-96,4,0,7e-05,0.000111,7,515,"LOTEK-164",1405,74,2512,42361,11,1,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1792",455828,1445858147.4828,45,0,-96,4,0,7e-05,-0.00049,7,515,"LOTEK-164",1405,74,2512,42361,11,1,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1793",455829,1445858205.6648,56,0,-96,4,0,7e-05,-0.000589,7,515,"LOTEK-164",1405,74,2512,42361,11,1,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1794",455830,1445858263.8508,58,0,-96,4,0,7e-05,0.003413,7,515,"LOTEK-164",1405,74,2512,42361,11,1,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1795",455831,1445858312.3363,47,0,-96,4,0,7e-05,1.2e-05,7,515,"LOTEK-164",1405,74,2512,42361,11,1,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1796",455832,1445858380.2137,40,0,-96,4,0,7e-05,-0.002288,7,515,"LOTEK-164",1405,74,2512,42361,11,1,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1797",455833,1445858428.7004,20,0,-96,4,0,7e-05,0.001213,7,515,"LOTEK-164",1405,74,2512,42361,11,1,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1798",455834,1445858486.8824,40,0,-96,4,0,7e-05,-0.000589,7,515,"LOTEK-164",1405,74,2512,42361,11,1,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
